id,text,label
1,DrugZ caused severe rashes in some participants.,Adverse Effect
2,No significant side effects were observed during the trial.,Positive Outcome
3,Participants were monitored every two weeks.,Neutral Observation
4,Increased liver enzymes were noted post-treatment with DrugA.,Adverse Effect
5,Patients were instructed to maintain a food diary.,Neutral Observation
6,Patients were instructed to maintain a food diary.,Neutral Observation
7,Participants were monitored every two weeks.,Neutral Observation
8,Patients experienced enhanced mobility after using DrugD.,Positive Outcome
9,Patients were instructed to maintain a food diary.,Neutral Observation
10,DrugZ caused severe rashes in some participants.,Adverse Effect
11,Participants showed improved lung function after therapy with DrugC.,Positive Outcome
12,The study excluded patients with pre-existing conditions.,Neutral Observation
13,No significant side effects were observed during the trial.,Positive Outcome
14,The study excluded patients with pre-existing conditions.,Neutral Observation
15,Patients experienced enhanced mobility after using DrugD.,Positive Outcome
16,The study excluded patients with pre-existing conditions.,Neutral Observation
17,Severe allergic reactions were observed following DrugB administration.,Adverse Effect
18,Increased liver enzymes were noted post-treatment with DrugA.,Adverse Effect
19,Marked improvement in blood pressure control was achieved with DrugE.,Positive Outcome
20,Severe allergic reactions were observed following DrugB administration.,Adverse Effect
21,Mild headaches were reported after the second dose of DrugY.,Adverse Effect
22,Patients experienced enhanced mobility after using DrugD.,Positive Outcome
23,Participants were monitored every two weeks.,Neutral Observation
24,Patients experienced enhanced mobility after using DrugD.,Positive Outcome
25,Severe allergic reactions were observed following DrugB administration.,Adverse Effect
26,The patient experienced nausea after taking DrugX.,Adverse Effect
27,Patients experienced enhanced mobility after using DrugD.,Positive Outcome
28,The treatment resulted in full remission for the majority of patients.,Positive Outcome
29,Data collection was completed over a six-month period.,Neutral Observation
30,No significant side effects were observed during the trial.,Positive Outcome
31,Patients experienced enhanced mobility after using DrugD.,Positive Outcome
32,Increased liver enzymes were noted post-treatment with DrugA.,Adverse Effect
33,Participants were monitored every two weeks.,Neutral Observation
34,Severe allergic reactions were observed following DrugB administration.,Adverse Effect
35,Participants were monitored every two weeks.,Neutral Observation
36,No significant side effects were observed during the trial.,Positive Outcome
37,Severe allergic reactions were observed following DrugB administration.,Adverse Effect
38,Data collection was completed over a six-month period.,Neutral Observation
39,Mild headaches were reported after the second dose of DrugY.,Adverse Effect
40,Marked improvement in blood pressure control was achieved with DrugE.,Positive Outcome
41,Data collection was completed over a six-month period.,Neutral Observation
42,The treatment resulted in full remission for the majority of patients.,Positive Outcome
43,The patient experienced nausea after taking DrugX.,Adverse Effect
44,Severe allergic reactions were observed following DrugB administration.,Adverse Effect
45,Marked improvement in blood pressure control was achieved with DrugE.,Positive Outcome
46,Mild headaches were reported after the second dose of DrugY.,Adverse Effect
47,DrugZ caused severe rashes in some participants.,Adverse Effect
48,Data collection was completed over a six-month period.,Neutral Observation
49,The study excluded patients with pre-existing conditions.,Neutral Observation
50,The patient experienced nausea after taking DrugX.,Adverse Effect
51,Data collection was completed over a six-month period.,Neutral Observation
52,Enrollment criteria included age and weight specifications.,Neutral Observation
53,Increased liver enzymes were noted post-treatment with DrugA.,Adverse Effect
54,Mild headaches were reported after the second dose of DrugY.,Adverse Effect
55,Mild headaches were reported after the second dose of DrugY.,Adverse Effect
56,Severe allergic reactions were observed following DrugB administration.,Adverse Effect
57,DrugZ caused severe rashes in some participants.,Adverse Effect
58,Participants were monitored every two weeks.,Neutral Observation
59,Marked improvement in blood pressure control was achieved with DrugE.,Positive Outcome
60,Patients were instructed to maintain a food diary.,Neutral Observation
61,The patient experienced nausea after taking DrugX.,Adverse Effect
62,Participants showed improved lung function after therapy with DrugC.,Positive Outcome
63,Increased liver enzymes were noted post-treatment with DrugA.,Adverse Effect
64,Participants showed improved lung function after therapy with DrugC.,Positive Outcome
65,Data collection was completed over a six-month period.,Neutral Observation
66,Increased liver enzymes were noted post-treatment with DrugA.,Adverse Effect
67,Increased liver enzymes were noted post-treatment with DrugA.,Adverse Effect
68,The patient experienced nausea after taking DrugX.,Adverse Effect
69,Participants were monitored every two weeks.,Neutral Observation
70,Mild headaches were reported after the second dose of DrugY.,Adverse Effect
71,DrugZ caused severe rashes in some participants.,Adverse Effect
72,Increased liver enzymes were noted post-treatment with DrugA.,Adverse Effect
73,The treatment resulted in full remission for the majority of patients.,Positive Outcome
74,Participants were monitored every two weeks.,Neutral Observation
75,Participants showed improved lung function after therapy with DrugC.,Positive Outcome
76,Patients experienced enhanced mobility after using DrugD.,Positive Outcome
77,Increased liver enzymes were noted post-treatment with DrugA.,Adverse Effect
78,Enrollment criteria included age and weight specifications.,Neutral Observation
79,DrugZ caused severe rashes in some participants.,Adverse Effect
80,Participants were monitored every two weeks.,Neutral Observation
81,Participants were monitored every two weeks.,Neutral Observation
82,Severe allergic reactions were observed following DrugB administration.,Adverse Effect
83,The study excluded patients with pre-existing conditions.,Neutral Observation
84,Participants showed improved lung function after therapy with DrugC.,Positive Outcome
85,Marked improvement in blood pressure control was achieved with DrugE.,Positive Outcome
86,The treatment resulted in full remission for the majority of patients.,Positive Outcome
87,Patients experienced enhanced mobility after using DrugD.,Positive Outcome
88,Participants showed improved lung function after therapy with DrugC.,Positive Outcome
89,Marked improvement in blood pressure control was achieved with DrugE.,Positive Outcome
90,Data collection was completed over a six-month period.,Neutral Observation
91,No significant side effects were observed during the trial.,Positive Outcome
92,Enrollment criteria included age and weight specifications.,Neutral Observation
93,The study excluded patients with pre-existing conditions.,Neutral Observation
94,Enrollment criteria included age and weight specifications.,Neutral Observation
