sentence_id,word,tag
1,Patients,O
1,experienced,O
1,cough,B-SYMPTOM
1,after,O
1,administration,O
1,of,O
1,75mg,B-DOSAGE
1,of,O
1,DrugZ,O
2,Patients,O
2,experienced,O
2,fever,B-SYMPTOM
2,after,O
2,taking,O
2,75mg,B-DOSAGE
2,of,O
2,DrugE,O
3,Patients,O
3,experienced,O
3,rash,B-SYMPTOM
3,following,O
3,500mg,B-DOSAGE
3,of,O
3,DrugB,O
4,Patients,O
4,experienced,O
4,fever,B-SYMPTOM
4,post-treatment,O
4,with,O
4,75mg,B-DOSAGE
4,of,O
4,DrugD,O
5,Patients,O
5,experienced,O
5,fever,B-SYMPTOM
5,post-treatment,O
5,with,O
5,200mg,B-DOSAGE
5,of,O
5,DrugZ,O
6,Patients,O
6,experienced,O
6,headache,B-SYMPTOM
6,post-treatment,O
6,with,O
6,100mg,B-DOSAGE
6,of,O
6,DrugE,O
7,Patients,O
7,experienced,O
7,dizziness,B-SYMPTOM
7,post-treatment,O
7,with,O
7,10mg,B-DOSAGE
7,of,O
7,DrugC,O
8,Patients,O
8,experienced,O
8,vomiting,B-SYMPTOM
8,after,O
8,taking,O
8,10mg,B-DOSAGE
8,of,O
8,DrugA,O
9,Patients,O
9,experienced,O
9,fatigue,B-SYMPTOM
9,following,O
9,500mg,B-DOSAGE
9,of,O
9,DrugC,O
10,Patients,O
10,experienced,O
10,headache,B-SYMPTOM
10,post-treatment,O
10,with,O
10,50mg,B-DOSAGE
10,of,O
10,DrugA,O
11,Patients,O
11,experienced,O
11,headache,B-SYMPTOM
11,after,O
11,administration,O
11,of,O
11,500mg,B-DOSAGE
11,of,O
11,DrugE,O
12,Patients,O
12,experienced,O
12,fever,B-SYMPTOM
12,post-treatment,O
12,with,O
12,100mg,B-DOSAGE
12,of,O
12,DrugD,O
13,Patients,O
13,experienced,O
13,headache,B-SYMPTOM
13,after,O
13,taking,O
13,200mg,B-DOSAGE
13,of,O
13,DrugB,O
14,Patients,O
14,experienced,O
14,nausea,B-SYMPTOM
14,during,O
14,the,O
14,course,O
14,of,O
14,250mg,B-DOSAGE
14,of,O
14,DrugY,O
15,Patients,O
15,experienced,O
15,vomiting,B-SYMPTOM
15,during,O
15,the,O
15,course,O
15,of,O
15,75mg,B-DOSAGE
15,of,O
15,DrugD,O
16,Patients,O
16,experienced,O
16,fever,B-SYMPTOM
16,after,O
16,administration,O
16,of,O
16,100mg,B-DOSAGE
16,of,O
16,DrugX,O
17,Patients,O
17,experienced,O
17,nausea,B-SYMPTOM
17,after,O
17,administration,O
17,of,O
17,5mg,B-DOSAGE
17,of,O
17,DrugE,O
18,Patients,O
18,experienced,O
18,fatigue,B-SYMPTOM
18,following,O
18,250mg,B-DOSAGE
18,of,O
18,DrugZ,O
19,Patients,O
19,experienced,O
19,rash,B-SYMPTOM
19,post-treatment,O
19,with,O
19,200mg,B-DOSAGE
19,of,O
19,DrugY,O
20,Patients,O
20,experienced,O
20,cough,B-SYMPTOM
20,after,O
20,taking,O
20,200mg,B-DOSAGE
20,of,O
20,DrugE,O
